suburb a;suburb b
Alexander Heights;Bullsbrook
Alfred Cove;Burns Beach
Alkimos;Burswood
Anketell;Butler
Applecross;Byford
Ardross;Calista
Armadale;Camillo
Ascot;Canning Vale
Ashby;Cannington
Ashfield;Carabooda
Attadale;Cardup
Atwell;Carine
Aubin Grove;Carlisle
Aveley;Carmel
Bailup;Carramar
Balcatta;Casuarina
Baldivis;Caversham
Balga;Champion Lakes
Ballajura;Chidlow
Banjup;Churchlands
Banksia Grove;City Beach
Baskerville;Claremont
Bassendean;Clarkson
Bateman;Clifton Park
Bayswater;Cloverdale
Beaconsfield;Cockburn Central
Beckenham;Como
Bedford;Connolly
Bedfordale;Coogee
Beechboro;Coolbellup
Beechina;Coolbinia
Beeliar;Cooloongup
Beldon;Cottesloe
Belhus;Craigie
Bellevue;Crawley
Belmont;Cullacabardee
Bennett Springs;Currambine
Bentley;Daglish
Bertram;Dalkeith
Bibra Lake;Darch
Bickley;Darling Downs
Bicton;Darlington
Booragoon;Dayton
Boya;Dianella
Brabham;Doubleview
Brentwood;Duncraig
Brigadoon;East Cannington
Brookdale;East Fremantle
Bull Creek;East Perth
;East Rockingham
